Term: hours                          Term Frequency: 1         
Term: taxonomy                       Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: competence                     Term Frequency: 1         
Term: tutors                         Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: critical                       Term Frequency: 1         
Term: lecturer                       Term Frequency: 1         
Term: build                          Term Frequency: 1         
Term: later                          Term Frequency: 1         
Term: final                          Term Frequency: 1         
Term: duration                       Term Frequency: 1         
Term: schedule                       Term Frequency: 1         
Term: grant                          Term Frequency: 1         
Term: showing                        Term Frequency: 1         
Term: thick                          Term Frequency: 1         
Term: text                           Term Frequency: 1         
Term: researchers                    Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: main                           Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: opposed                        Term Frequency: 1         
Term: activated                      Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: 09                             Term Frequency: 1         
Term: highest                        Term Frequency: 1         
Term: 1st                            Term Frequency: 1         
Term: 35                             Term Frequency: 1         
Term: star                           Term Frequency: 1         
Term: many                           Term Frequency: 1         
Term: 50                             Term Frequency: 1         
Term: 51                             Term Frequency: 1         
Term: 53                             Term Frequency: 1         
Term: 54                             Term Frequency: 1         
Term: 58                             Term Frequency: 1         
Term: 65                             Term Frequency: 1         
Term: 67                             Term Frequency: 1         
Term: needed                         Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: interest                       Term Frequency: 1         
Term: 77                             Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: disagree                       Term Frequency: 1         
Term: 82                             Term Frequency: 1         
Term: 89                             Term Frequency: 1         
Term: relate                         Term Frequency: 1         
Term: lost                           Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: reward                         Term Frequency: 1         
Term: facebook                       Term Frequency: 1         
Term: exists                         Term Frequency: 1         
Term: enquired                       Term Frequency: 1         
Term: edn                            Term Frequency: 1         
Term: seems                          Term Frequency: 1         
Term: 17resources                    Term Frequency: 1         
Term: inspired                       Term Frequency: 1         
Term: planning                       Term Frequency: 1         
Term: inspires                       Term Frequency: 1         
Term: appropriate                    Term Frequency: 1         
Term: least                          Term Frequency: 1         
Term: immediately                    Term Frequency: 1         
Term: fostering                      Term Frequency: 1         
Term: bookmarked                     Term Frequency: 1         
Term: leave                          Term Frequency: 1         
Term: users                          Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: 10th                           Term Frequency: 1         
Term: precisely                      Term Frequency: 1         
Term: fails                          Term Frequency: 1         
Term: forum                          Term Frequency: 1         
Term: undertaking                    Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: achieved                       Term Frequency: 1         
Term: happens                        Term Frequency: 1         
Term: specify                        Term Frequency: 1         
Term: deployment                     Term Frequency: 1         
Term: updating                       Term Frequency: 1         
Term: etc                            Term Frequency: 1         
Term: rates                          Term Frequency: 1         
Term: transport                      Term Frequency: 1         
Term: exams                          Term Frequency: 1         
Term: 470                            Term Frequency: 1         
Term: expected                       Term Frequency: 1         
Term: 487                            Term Frequency: 1         
Term: 489                            Term Frequency: 1         
Term: 494                            Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: ingredients                    Term Frequency: 1         
Term: likert                         Term Frequency: 1         
Term: apps                           Term Frequency: 1         
Term: describe                       Term Frequency: 1         
Term: charts                         Term Frequency: 1         
Term: white                          Term Frequency: 1         
Term: conclusion                     Term Frequency: 1         
Term: supporting                     Term Frequency: 1         
Term: derived                        Term Frequency: 1         
Term: green                          Term Frequency: 1         
Term: grew                           Term Frequency: 1         
Term: grey                           Term Frequency: 1         
Term: instruments                    Term Frequency: 1         
Term: far                            Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: feeds                          Term Frequency: 1         
Term: configured                     Term Frequency: 1         
Term: integrated                     Term Frequency: 1         
Term: recommender                    Term Frequency: 1         
Term: sure                           Term Frequency: 1         
Term: enabling                       Term Frequency: 1         
Term: cf                             Term Frequency: 1         
Term: co                             Term Frequency: 1         
Term: nikeplus.nike.com              Term Frequency: 1         
Term: preceded                       Term Frequency: 1         
Term: patterns                       Term Frequency: 1         
Term: 5.2                            Term Frequency: 1         
Term: achievable                     Term Frequency: 1         
Term: covers                         Term Frequency: 1         
Term: go                             Term Frequency: 1         
Term: https                          Term Frequency: 1         
Term: conscious                      Term Frequency: 1         
Term: plus                           Term Frequency: 1         
Term: entry                          Term Frequency: 1         
Term: 574                            Term Frequency: 1         
Term: sports                         Term Frequency: 1         
Term: 594                            Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: convincingly                   Term Frequency: 1         
Term: seen                           Term Frequency: 1         
Term: seem                           Term Frequency: 1         
Term: followap                       Term Frequency: 1         
Term: analyzed                       Term Frequency: 1         
Term: closer                         Term Frequency: 1         
Term: rules                          Term Frequency: 1         
Term: commuting                      Term Frequency: 1         
Term: know                           Term Frequency: 1         
Term: phase                          Term Frequency: 1         
Term: teams                          Term Frequency: 1         
Term: conclude                       Term Frequency: 1         
Term: ensembles                      Term Frequency: 1         
Term: ended                          Term Frequency: 1         
Term: prone                          Term Frequency: 1         
Term: create                         Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: implementation                 Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: assimilative                   Term Frequency: 1         
