Term: 37                             Term Frequency: 2         
Term: 39                             Term Frequency: 2         
Term: seeks                          Term Frequency: 2         
Term: 45                             Term Frequency: 2         
Term: loop                           Term Frequency: 2         
Term: look                           Term Frequency: 2         
Term: common                         Term Frequency: 2         
Term: themselves                     Term Frequency: 2         
Term: layout                         Term Frequency: 2         
Term: reward                         Term Frequency: 2         
Term: revising                       Term Frequency: 2         
Term: advantage                      Term Frequency: 2         
Term: instead                        Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: collaboratively                Term Frequency: 2         
Term: evidence                       Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: artefacts                      Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: elegant                        Term Frequency: 2         
Term: links                          Term Frequency: 2         
Term: render                         Term Frequency: 2         
Term: wanted                         Term Frequency: 2         
Term: argued                         Term Frequency: 2         
Term: structures                     Term Frequency: 2         
Term: consensus                      Term Frequency: 2         
Term: features                       Term Frequency: 2         
Term: submit                         Term Frequency: 2         
Term: supporting                     Term Frequency: 2         
Term: green                          Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: provoke                        Term Frequency: 2         
Term: contribute                     Term Frequency: 2         
Term: why                            Term Frequency: 2         
Term: integrated                     Term Frequency: 2         
Term: enabling                       Term Frequency: 2         
Term: bookmarking                    Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: contrast                       Term Frequency: 2         
Term: literature                     Term Frequency: 2         
Term: frustration                    Term Frequency: 2         
Term: seek                           Term Frequency: 2         
Term: decision                       Term Frequency: 2         
Term: separate                       Term Frequency: 2         
Term: rules                          Term Frequency: 2         
Term: us                             Term Frequency: 2         
Term: suggesting                     Term Frequency: 2         
Term: 10,000                         Term Frequency: 2         
Term: prone                          Term Frequency: 2         
Term: create                         Term Frequency: 2         
Term: inactivity                     Term Frequency: 2         
Term: conversational                 Term Frequency: 2         
Term: illustrating                   Term Frequency: 2         
Term: analyse                        Term Frequency: 2         
Term: introduced                     Term Frequency: 2         
Term: committed                      Term Frequency: 2         
Term: timeline                       Term Frequency: 2         
Term: adopted                        Term Frequency: 2         
Term: area                           Term Frequency: 2         
Term: entire                         Term Frequency: 2         
Term: discussed                      Term Frequency: 2         
Term: replied                        Term Frequency: 2         
Term: policies                       Term Frequency: 2         
Term: interrelated                   Term Frequency: 2         
Term: video                          Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: evenly                         Term Frequency: 2         
Term: having                         Term Frequency: 2         
Term: garden                         Term Frequency: 2         
Term: emphasis                       Term Frequency: 2         
Term: history                        Term Frequency: 2         
Term: square                         Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: opportunity                    Term Frequency: 2         
Term: reply                          Term Frequency: 2         
